Nome,Categoria,Estrelas,Dia,Endereço,Latitude,Longitude,Notas
Sarabeth's (40 Central Park South),🍽️ Restaurante,⭐⭐ Vale o desvio,💡 Dica,"40.7651, -73.9757",40.7651,-73.9757,Panquecas/waffles · muito kid-friendly
BCD Tofu House (5 W 32nd St),🍽️ Restaurante,⭐⭐ Vale o desvio,💡 Dica,"40.7475, -73.9861",40.7475,-73.9861,"Sopa de tofu coreana · aberto sempre, mild"
Koreatown · W 32nd St,🍽️ Restaurante,⭐⭐ Vale o desvio,💡 Dica,"40.7476, -73.9862",40.7476,-73.9862,"A rua coreana de Midtown · frango frito, BBQ, tofu"
Shake Shack · Madison Square Park (original),🍽️ Restaurante,⭐⭐ Vale o desvio,💡 Dica,"40.7415, -73.9882",40.7415,-73.9882,O Shake Shack ORIGINAL + parque pra criança correr
Eataly NYC Flatiron (200 5th Ave),🍴 Food Hall,⭐⭐ Vale o desvio,💡 Dica,"40.7421, -73.9901",40.7421,-73.9901,Mercado/food hall italiano · massa/pizza
Nordstrom Rack (60 E 14th St),🛍️ Loja/Design,⭐ Se sobrar,💡 Dica,"40.7345, -73.9908",40.7345,-73.9908,Off-price · forte em sapatos e Levi's
Uniqlo 5th Ave (660 5th Ave),🛍️ Loja/Design,⭐⭐ Vale o desvio,💡 Dica,"40.7606, -73.9757",40.7606,-73.9757,Básicos de qualidade/preço · do lado do MoMA
TJ Maxx (620 6th Ave),🛍️ Loja/Design,⭐ Se sobrar,💡 Dica,"40.7387, -73.9945",40.7387,-73.9945,Off-price · cluster da 6th Ave 'Ladies' Mile'
Macy's Herald Square (151 W 34th St),🛍️ Loja/Design,⭐⭐ Vale o desvio,💡 Dica,"40.7508, -73.9896",40.7508,-73.9896,Flagship icônico · marcas em liquidação
Target East Village (500 E 14th St),🛍️ Loja/Design,⭐ Se sobrar,💡 Dica,"40.7291, -73.9783",40.7291,-73.9783,"Big-box barato · Fruit of the Loom, básicos family"
"Beacon's Closet (74 Guernsey St, Greenpoint)",🛍️ Loja/Design,⭐⭐⭐ Vale a viagem,💡 Dica,"40.7251, -73.9514",40.7251,-73.9514,Melhor brechó buy/sell/trade · a pé da base
Awoke Vintage Williamsburg (132 N 5th St),🛍️ Loja/Design,⭐⭐ Vale o desvio,💡 Dica,"40.7167, -73.9593",40.7167,-73.9593,Vintage bem curado
Buffalo Exchange Williamsburg (504 Driggs Ave),🛍️ Loja/Design,⭐ Se sobrar,💡 Dica,"40.7182, -73.9553",40.7182,-73.9553,"Usado de marca, preço justo"
Artists & Fleas · Williamsburg (70 N 7th St),🛍️ Loja/Design,⭐⭐ Vale o desvio,💡 Dica,"40.7199, -73.9613",40.7199,-73.9613,Mercado de makers indie (fim de semana)
Housing Works Thrift · Chelsea (143 W 17th St),🛍️ Loja/Design,⭐⭐ Vale o desvio,💡 Dica,"40.7404, -73.9967",40.7404,-73.9967,Brechó de caridade · grife a preço de thrift
MoMA Design Store SoHo (81 Spring St),🛍️ Loja/Design,⭐⭐ Vale o desvio,💡 Dica,"40.7228, -73.9981",40.7228,-73.9981,Objetos de design · a parada certa de design
La Colombe SoHo (270 Lafayette St),☕ Café,⭐⭐ Vale o desvio,💡 Dica,"40.7242, -73.9962",40.7242,-73.9962,Inventaram o draft latte · espresso sério
La Cabra SoHo (284 Lafayette St),☕ Café,⭐⭐ Vale o desvio,💡 Dica,"40.7246, -73.9961",40.7246,-73.9961,Escandinavo minimalista · cardamom bun
Balthazar (80 Spring St),🍽️ Restaurante,⭐⭐ Vale o desvio,💡 Dica,"40.7227, -73.9984",40.7227,-73.9984,Brasserie parisiense icônica · padaria forte
Dominique Ansel Bakery (189 Spring St),🥐 Padaria/Doceria,⭐⭐ Vale o desvio,💡 Dica,"40.7253, -74.0037",40.7253,-74.0037,O cronut · kouign-amann excelente
Haughwout Building (488 Broadway),🎯 Atração,⭐ Se sobrar,💡 Dica,"40.7218, -73.9996",40.7218,-73.9996,'Partenon do ferro fundido' (1857) · 1º elevador Otis
Little Singer Building (561 Broadway),🎯 Atração,⭐ Se sobrar,💡 Dica,"40.7242, -73.9983",40.7242,-73.9983,Fachada de ferro azul + terracota (1902)
B&H Photo Video (420 9th Ave),🛍️ Loja/Design,⭐⭐ Vale o desvio,💡 Dica,"40.7529, -73.9963",40.7529,-73.9963,Eletrônico com preço excelente · FECHA sábado (Shabat)
Morgan Library & Museum (225 Madison Ave),🎯 Atração,⭐⭐⭐ Vale a viagem,💡 Dica,"40.7492, -73.9816",40.7492,-73.9816,Biblioteca-museu deslumbrante · refúgio de chuva
Radio City Music Hall (6th Ave & 50th),🎯 Atração,⭐⭐ Vale o desvio,💡 Dica,"40.7599, -73.9801",40.7599,-73.9801,Maior teatro indoor do mundo · tour dos bastidores
Nintendo NY (10 Rockefeller Plaza),🛍️ Loja/Design,⭐⭐ Vale o desvio,💡 Dica,"40.7581, -73.9794",40.7581,-73.9794,"Loja/experiência de games · kid win, indoor"
Saks Fifth Avenue (611 5th Ave),🛍️ Loja/Design,⭐ Se sobrar,💡 Dica,"40.7583, -73.9774",40.7583,-73.9774,Loja de departamento clássica · coberta
Whitney Museum (99 Gansevoort St),🎯 Atração,⭐⭐⭐ Vale a viagem,💡 Dica,"40.7396, -74.0091",40.7396,-74.0091,Arte americana · Biennial · no pé sul do High Line
